Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3,Habitat_DO
Mollusc_dredge,MD,0,0,0,0,0,0,0,0,0
Harpoons,Harp,0.44493597,0.022677326,0.183967325,0.04887049,0.001,0,0,0,0.298548888
Kelp_harvester,KH,1,0,0,0,0,0,0,0,0
Longlines+Gillnets,LLGN,0.413736636,0.082634796,0.294012046,0.147076461,0.001,0,0,0,0.06154006
Pelagic_trawl+seine,PTS,0.021812435,0.003884902,0.017825033,0.005526484,0.001,0,0,0,0.949951146
Creels,CR,0.513324822,0.048221065,0.28087421,0.153239167,0.001,0,0,0,0.003340736
Recreational,Rec,0.253581945,0.183908023,0.487890343,0.074619688,0,0,0,0,0
Shelf_Trawlers,ST,0.461889151,0.057023916,0.260663732,0.185416514,0.001,0,0,0,0.034006688
Blank1,B1,0,0,0,0,0,0,0,0,0
Blank2,B2,0,0,0,0,0,0,0,0,0
Blank3,B3,0,0,0,0,0,0,0,0,0
Blank4,B4,0,0,0,0,0,0,0,0,0
