"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,0.278467648114125,6.52415126104136,6.43355988437673,2.97026128100827,1.90822271223263,6.77076505345234,7.57957937331513e-06,-1.32871013387686,1,0.00565275257362075,0.000613754948941508,0.113061789094431,0.0723293806429427,0.0086198296363008,0.000219513902004138,0.0453139221392865,0.05,0.05,0.05,0.05,0.05,0.05,2.93608553409576,-3.77625364334782,0.9,0.000973166795525242,0.00100099233905578
2,2.12488701533517,6.39518571877592,6.41386222010822,2.41963708545746,1.80679622184088,6.3047694191308,5.8128973331749e-06,-1.37763381092345,1,0.00703500049696284,0.000709985667298127,0.0901829195973748,0.0591938204230386,0.00702376218004246,0.000204363721527359,0.0381290056819629,0.05,0.05,0.05,0.05,0.05,0.05,2.91490802764893,-3.69207049780041,0.9,0.00104577178099529,0.000955659194271525
3,8.5269317890283,6.10435688723027,6.14998242682046,2.10843965729756,1.7060963002239,5.9171202440241,6.35997139743207e-06,-1.56222291617872,1,0.00704949584342749,0.000782160140008434,0.107620793587418,0.0711681552524119,0.00663449024251696,0.000191908996595775,0.040511706329935,0.05,0.05,0.05,0.05,0.05,0.05,2.87261147499084,-3.7442747888499,0.9,0.000940563868983572,0.000996633193144
4,18.5453046179048,5.99429244483342,6.21755646770669,2.21262193705759,1.684596361628,6.07516004494396,8.36755529539236e-06,-1.73723057430677,0.884163508,0.00732391419715859,0.000807431379465164,0.104704350897505,0.0682099643163813,0.00614634372107587,0.000186320403316403,0.0373195302719044,0.05,0.05,0.05,0.05,0.05,0.05,2.09489059448242,-3.84884693076232,0.9,0.000879248709891984,0.000925117590601038
5,27.8879253158525,6.27245782436197,6.48228892795502,3.00392688242413,1.73672207008589,7.04982913329637,9.55198322405778e-06,-2.29428093139468,0.607671289,0.00471321286326465,0.000588768689787418,0.093565209852264,0.0578069166814266,0.00514594464394294,0.000153074946986197,0.0333168194059785,0.05,0.05,0.05,0.05,0.05,0.05,1.62447792291641,-4.11099364317658,0.9,0.000784295826518787,0.000953382387302768
6,30.025170321784,6.79447360696999,6.81213410382377,4.50076468016452,1.79787241301803,8.68118265110397,8.60782775405778e-06,-3.08111458561569,0.446021763,0.00313192476231358,0.000413575215155563,0.0907821356320813,0.054547171428918,0.00430344980158989,0.000158578333568291,0.0302670658772757,0.05,0.05,0.05,0.05,0.05,0.05,1.44809292554855,-4.30043239953185,0.9,0.000779264805922272,0.000906517180138432
7,26.088202276573,6.75747321971657,6.51613591464597,6.08355147784195,1.85098047125828,10.3822578503378,7.75420233011372e-06,-4.44515437857259,0.411451011,0.00283265962929615,0.000338676503640983,0.0856698059307714,0.05056505408662,0.00419323552475594,0.000140995694902525,0.0311508368913396,0.05,0.05,0.05,0.05,0.05,0.05,1.25227006077766,-4.26244861993417,0.9,0.000763130883161149,0.000828964382644025
8,19.3735809992323,6.46447219103014,6.28129640710971,7.22413924213385,1.90760666936221,11.56273861216,5.81805843556761e-06,-4.51816113583181,0.476442673,0.00272949132466466,0.000342877082914121,0.0874308264051,0.0519813968586918,0.005262247401593,0.000154466144295905,0.0348696364355385,0.05,0.05,0.05,0.05,0.05,0.05,1.37344961166382,-4.05015051231082,0.9,0.000751962218623275,0.000855901244831396
9,11.1858615910071,6.30474968950924,6.25650131418005,7.43441636575892,1.9529414146583,11.5874190119788,5.59680864685817e-06,-3.65867106860038,0.639261454,0.00320788801362687,0.000315670293070215,0.0968514344771219,0.0586765354410437,0.00692001437333939,0.000227047617712968,0.0403169715388522,0.05,0.05,0.05,0.05,0.05,0.05,1.86610975265503,-3.92387181890688,0.9,0.000826453653692157,0.000877041081266703
10,3.88242343406543,6.43318210525243,6.34898497602354,6.75106866092464,1.99437914738519,10.5828438616306,7.59872456940954e-06,-2.44534563199847,0.922987598,0.00394973593880395,0.000333499710497569,0.100870137971838,0.0633868350028025,0.00853699708788585,0.000307604803930865,0.0409545820895652,0.05,0.05,0.05,0.05,0.05,0.05,2.37584465742111,-3.89743116388497,0.9,0.000925461338287419,0.000894706257198409
11,0.627730703877459,6.46051200061336,6.50591354352367,5.20698116394437,2.02528930597445,8.7337118595963,8.76462474527334e-06,-1.72938397489317,1,0.00456269129043015,0.000397891824175421,0.112233700289327,0.0718066336049953,0.00898466397095813,0.000300870782875388,0.0449587646372032,0.05,0.05,0.05,0.05,0.05,0.05,2.57379122972488,-3.79119208760708,0.9,0.0009473521916022,0.00093613773443861
12,0.0678099842356756,6.45128304743492,6.48196711514362,3.88719267275359,2.00971566297748,7.52434211590259,9.49715507154332e-06,-1.44671737634599,1,0.00523856415845871,0.000542084385800886,0.121075768017563,0.076538402340988,0.00999552890231568,0.000331519984006114,0.0508526845441687,0.05,0.05,0.05,0.05,0.05,0.05,3.13790488243103,-3.67054394859098,0.9,0.00100369767845583,0.00101781008402484
